Age,EdLevel,MainBranch,DevType,Country,Industry,Employment,OrgSize,WorkExp,Worktype,YearsCode,YearsCodePro,Salary,Avgcodepro_time
1,1,1,9,9,7,1,3,2,2,15,11,64254.0,4
1,1,1,9,21,4,1,5,1,0,10,6,73713.0,4
1,1,1,9,25,2,1,3,0,0,4,2,105000.0,2
1,2,1,6,1,4,1,2,1,1,15,10,80317.0,5
2,2,1,9,16,4,0,0,2,2,20,12,59815.0,8
1,1,1,9,24,3,1,2,2,2,11,6,99311.0,5
4,2,1,6,15,7,1,5,6,0,40,31,77927.0,9
3,1,1,5,24,4,1,1,1,0,24,24,55862.0,0
2,0,1,9,25,7,1,1,1,1,25,8,85000.0,17
2,2,1,5,19,5,1,6,4,2,25,22,49503.0,3
2,3,1,5,25,4,1,7,1,1,8,7,172000.0,1
2,2,1,5,4,4,1,2,1,2,22,20,81787.0,2
0,0,1,9,25,5,1,7,0,2,5,5,94000.0,0
0,1,1,9,3,2,1,7,0,0,7,4,24345.0,3
2,1,1,9,25,6,1,7,1,2,11,9,188000.0,2
1,1,1,9,7,2,1,2,2,2,20,11,74963.0,9
1,1,1,9,15,4,1,0,1,1,15,6,83364.0,9
0,1,1,5,21,3,1,2,0,0,5,2,40082.0,3
1,0,1,9,13,4,1,0,1,1,10,10,38552.0,0
1,1,1,5,4,4,1,1,0,2,6,4,79556.0,2
